Date,GDP
2016-05-29,18690825.086956523
2016-05-30,18692552.43478261
2016-05-31,18694279.782608695
2016-06-01,18696007.13043478
2016-06-02,18697734.47826087
2016-06-03,18699461.826086957
2016-06-04,18701189.173913043
2016-06-05,18702916.52173913
2016-06-06,18704643.86956522
2016-06-07,18706371.217391305
2016-06-08,18708098.56521739
2016-06-09,18709825.913043477
2016-06-10,18711553.260869566
2016-06-11,18713280.608695652
2016-06-12,18715007.95652174
2016-06-13,18716735.304347824
2016-06-14,18718462.652173914
2016-06-15,18720190.0
2016-06-16,18721917.347826086
2016-06-17,18723644.695652176
2016-06-18,18725372.04347826
2016-06-19,18727099.391304348
2016-06-20,18728826.739130434
2016-06-21,18730554.086956523
2016-06-22,18732281.43478261
2016-06-23,18734008.782608695
2016-06-24,18735736.13043478
2016-06-25,18737463.47826087
2016-06-26,18739190.826086957
2016-06-27,18740918.173913043
2016-06-28,18742645.52173913
2016-06-29,18744372.86956522
2016-06-30,18746100.217391305
2016-07-01,18747827.56521739
2016-07-02,18749554.913043477
2016-07-03,18751282.260869566
2016-07-04,18753009.608695652
2016-07-05,18754736.95652174
2016-07-06,18756464.304347824
2016-07-07,18758191.652173914
2016-07-08,18759919.0
2016-07-09,18761646.347826086
2016-07-10,18763373.695652176
2016-07-11,18765101.04347826
2016-07-12,18766828.391304348
2016-07-13,18768555.739130434
2016-07-14,18770283.086956523
2016-07-15,18772010.43478261
2016-07-16,18773737.782608695
2016-07-17,18775465.13043478
2016-07-18,18777192.47826087
2016-07-19,18778919.826086957
2016-07-20,18780647.173913043
2016-07-21,18782374.52173913
2016-07-22,18784101.86956522
2016-07-23,18785829.217391305
2016-07-24,18787556.56521739
2016-07-25,18789283.913043477
2016-07-26,18791011.260869566
2016-07-27,18792738.608695652
2016-07-28,18794465.95652174
2016-07-29,18796193.304347824
2016-07-30,18797920.652173914
2016-07-31,18799648.0
2016-08-01,18801600.141304348
2016-08-02,18803552.282608695
2016-08-03,18805504.423913043
2016-08-04,18807456.56521739
2016-08-05,18809408.70652174
2016-08-06,18811360.847826086
2016-08-07,18813312.989130434
2016-08-08,18815265.13043478
2016-08-09,18817217.27173913
2016-08-10,18819169.413043477
2016-08-11,18821121.554347824
2016-08-12,18823073.695652176
2016-08-13,18825025.836956523
2016-08-14,18826977.97826087
2016-08-15,18828930.11956522
2016-08-16,18830882.260869566
2016-08-17,18832834.402173914
2016-08-18,18834786.54347826
2016-08-19,18836738.68478261
2016-08-20,18838690.826086957
2016-08-21,18840642.967391305
2016-08-22,18842595.108695652
2016-08-23,18844547.25
2016-08-24,18846499.391304348
2016-08-25,18848451.532608695
2016-08-26,18850403.673913043
2016-08-27,18852355.81521739
2016-08-28,18854307.95652174
2016-08-29,18856260.097826086
2016-08-30,18858212.239130434
2016-08-31,18860164.38043478
2016-09-01,18862116.52173913
2016-09-02,18864068.663043477
2016-09-03,18866020.804347824
2016-09-04,18867972.945652176
2016-09-05,18869925.086956523
2016-09-06,18871877.22826087
2016-09-07,18873829.36956522
2016-09-08,18875781.510869566
2016-09-09,18877733.652173914
2016-09-10,18879685.79347826
2016-09-11,18881637.93478261
2016-09-12,18883590.076086957
2016-09-13,18885542.217391305
2016-09-14,18887494.358695652
2016-09-15,18889446.5
2016-09-16,18891398.641304348
2016-09-17,18893350.782608695
2016-09-18,18895302.923913043
