time,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
05-02-2018,74.002,52.674,74.002,51.898,0.278,44.906,0.5660000000000001,0.59,0.00023999999999999998,0.00132,0.11200000000000002,1014.0039999999999,1525266325.8,1525315840.2,74.002,52.674,74.002,51.898,8.8,9.138,281.6,10.663999999999998,1.666
05-03-2016,82.3,61.59000000000001,82.3,57.65,0.21799999999999997,48.83800000000001,0.508,0.89,0.0,0.0,0.0,1013.358,1462280630.6,1462330319.8,82.3,61.59000000000001,82.3,57.65,9.2,8.547999999999998,290.0,8.276,1.094
05-03-2017,91.848,65.758,91.848,64.51400000000001,0.06,54.924,0.4880000000000001,0.27,0.0,0.0,0.0,1012.552,1493816646.0,1493866307.0,91.848,65.758,91.848,64.51400000000001,9.8,8.486,300.0,9.592,1.3199999999999998
05-03-2018,78.4,55.29,78.4,52.674,0.044,48.391999999999996,0.5700000000000001,0.62,0.0,0.0,0.0,1020.158,1525352661.4,1525402294.0,78.4,55.29,78.4,52.674,9.8,9.331999999999999,263.0,11.882,2.232
05-04-2016,77.346,57.846000000000004,77.346,61.217999999999996,0.352,51.553999999999995,0.576,0.93,0.00046,0.0037400000000000003,0.146,1010.4039999999999,1462366967.8,1462416773.6,77.346,57.846000000000004,77.346,61.217999999999996,8.2,8.86,279.8,11.888000000000002,2.332
05-04-2017,91.71799999999999,61.672000000000004,91.71799999999999,65.66799999999999,0.128,55.712,0.508,0.31,0.0,0.0,0.0,1011.11,1493902983.2,1493952761.0,91.71799999999999,61.672000000000004,91.71799999999999,65.66799999999999,9.8,8.64,241.6,12.698,1.8059999999999998
05-04-2018,85.912,58.846000000000004,85.912,55.29,0.022,49.791999999999994,0.524,0.65,0.0,0.0,0.0,1020.1299999999999,1525438998.4,1525488748.0,85.912,58.846000000000004,85.912,55.29,9.8,9.338,250.4,10.544,1.362
05-05-2016,69.346,55.996,69.346,57.720000000000006,0.696,50.373999999999995,0.662,0.96,0.0015800000000000002,0.01758,0.49800000000000005,1010.618,1462453306.6,1462503227.2,69.346,55.996,69.346,57.720000000000006,6.8,8.830000000000002,246.4,13.412,2.218
05-05-2017,78.77199999999999,54.422000000000004,78.77199999999999,60.88599999999999,0.266,51.355999999999995,0.5640000000000001,0.34,0.0,0.0,0.0,1009.6560000000002,1493989321.4,1494039214.4,78.77199999999999,54.504000000000005,78.77199999999999,60.88599999999999,9.0,8.642,261.4,12.764,3.2960000000000003
05-05-2018,85.08399999999999,57.3,85.08399999999999,58.846000000000004,0.052000000000000005,49.992000000000004,0.49399999999999994,0.68,0.0,0.0,0.0,1014.96,1525525336.4,1525575201.4,85.08399999999999,57.3,85.08399999999999,58.846000000000004,9.6,9.906,210.4,9.443999999999999,1.268
05-06-2016,66.52799999999999,56.75599999999999,66.52799999999999,55.996,0.8019999999999999,53.278,0.7939999999999999,0.01,0.00756,0.06122000000000001,0.9019999999999999,1010.8,1462539646.8,1462589680.6,66.52799999999999,56.75599999999999,66.52799999999999,55.996,5.6,8.078,243.2,9.962,1.222
