CAPOP,Date
39314400.54520585,2016-07-21
39314921.70137023,2016-07-22
39315442.85753462,2016-07-23
39315964.013699,2016-07-24
39316485.16986339,2016-07-25
39317006.32602777,2016-07-26
39317527.48219216,2016-07-27
39318048.638356544,2016-07-28
39318569.79452093,2016-07-29
39319090.950685315,2016-07-30
39319612.1068497,2016-07-31
39320133.263014086,2016-08-01
39320654.41917847,2016-08-02
39321175.57534286,2016-08-03
39321696.73150724,2016-08-04
39322217.88767163,2016-08-05
39322739.04383601,2016-08-06
39323260.2000004,2016-08-07
39323781.35616478,2016-08-08
39324302.51232917,2016-08-09
39324823.668493554,2016-08-10
39325344.82465794,2016-08-11
39325865.980822325,2016-08-12
39326387.13698671,2016-08-13
39326908.293151096,2016-08-14
39327429.44931548,2016-08-15
39327950.605479866,2016-08-16
39328471.76164425,2016-08-17
39328992.91780864,2016-08-18
39329514.07397302,2016-08-19
39330035.23013741,2016-08-20
39330556.38630179,2016-08-21
39331077.54246618,2016-08-22
39331598.698630564,2016-08-23
39332119.85479495,2016-08-24
39332641.010959335,2016-08-25
39333162.16712372,2016-08-26
39333683.323288105,2016-08-27
39334204.47945249,2016-08-28
39334725.635616876,2016-08-29
39335246.79178126,2016-08-30
39335767.94794565,2016-08-31
39336289.10411003,2016-09-01
39336810.26027442,2016-09-02
39337331.4164388,2016-09-03
39337852.57260319,2016-09-04
39338373.728767574,2016-09-05
39338894.88493196,2016-09-06
39339416.041096345,2016-09-07
39339937.19726073,2016-09-08
39340458.353425115,2016-09-09
39340979.5095895,2016-09-10
39341500.665753886,2016-09-11
39342021.82191827,2016-09-12
39342542.97808266,2016-09-13
39343064.13424704,2016-09-14
39343585.29041143,2016-09-15
39344106.44657581,2016-09-16
39344627.6027402,2016-09-17
39345148.758904584,2016-09-18
39345669.91506897,2016-09-19
39346191.071233355,2016-09-20
39346712.22739774,2016-09-21
39347233.383562125,2016-09-22
39347754.53972651,2016-09-23
39348275.695890896,2016-09-24
39348796.85205528,2016-09-25
39349318.00821967,2016-09-26
39349839.16438405,2016-09-27
39350360.32054844,2016-09-28
39350881.47671282,2016-09-29
39351402.63287721,2016-09-30
39351923.78904159,2016-10-01
39352444.94520598,2016-10-02
39352966.101370364,2016-10-03
39353487.25753475,2016-10-04
39354008.413699135,2016-10-05
39354529.56986352,2016-10-06
39355050.726027906,2016-10-07
39355571.88219229,2016-10-08
39356093.03835668,2016-10-09
39356614.19452106,2016-10-10
39357135.35068545,2016-10-11
39357656.50684983,2016-10-12
39358177.66301422,2016-10-13
39358698.8191786,2016-10-14
39359219.97534299,2016-10-15
39359741.131507374,2016-10-16
39360262.28767176,2016-10-17
39360783.443836145,2016-10-18
39361304.60000053,2016-10-19
39361825.756164916,2016-10-20
39362346.9123293,2016-10-21
39362868.06849369,2016-10-22
39363389.22465807,2016-10-23
39363910.38082246,2016-10-24
39364431.53698684,2016-10-25
39364952.69315123,2016-10-26
39365473.84931561,2016-10-27
39365995.00548,2016-10-28
39366516.161644384,2016-10-29
39367037.31780877,2016-10-30
39367558.473973155,2016-10-31
39368079.63013754,2016-11-01
39368600.786301926,2016-11-02
39369121.94246631,2016-11-03
39369643.0986307,2016-11-04
39370164.25479508,2016-11-05
39370685.41095947,2016-11-06
39371206.56712385,2016-11-07
39371727.72328824,2016-11-08
39372248.87945262,2016-11-09
39372770.03561701,2016-11-10
39373291.191781394,2016-11-11
39373812.34794578,2016-11-12
39374333.504110165,2016-11-13
39374854.66027455,2016-11-14
39375375.816438936,2016-11-15
39375896.97260332,2016-11-16
39376418.12876771,2016-11-17
39376939.28493209,2016-11-18
39377460.44109648,2016-11-19
39377981.59726086,2016-11-20
39378502.75342525,2016-11-21
39379023.90958963,2016-11-22
39379545.06575402,2016-11-23
39380066.221918404,2016-11-24
39380587.37808279,2016-11-25
39381108.534247175,2016-11-26
39381629.69041156,2016-11-27
39382150.846575946,2016-11-28
39382672.00274033,2016-11-29
